month,method,component,contribution,active_exposure
2020-03-31,global_minimum_variance,factor:SMB,-5.055828133021696e-05,-0.00694048917268985
2020-03-31,global_minimum_variance,factor:HML,0.0009485195455898845,-0.15742396409642082
2020-03-31,global_minimum_variance,factor:RMW,0.0003427654922077017,-0.012176012777762313
2020-03-31,global_minimum_variance,factor:CMA,0.0012767488278453579,-0.2302345783480343
2020-03-31,global_minimum_variance,factor:MOM,0.0018336214406857586,-0.0809464326022426
2020-03-31,global_minimum_variance,specific,0.0022520755588652866,
2020-03-31,global_minimum_variance,transaction_cost,-1.0315557358077868e-05,
2020-03-31,global_minimum_variance,active_net_return,0.014103603027054667,
2020-03-31,shrinkage_mean_variance,factor:MKT_RF,0.006048890159738663,-0.20531473316581872
2020-03-31,shrinkage_mean_variance,factor:SMB,0.0008850233353876026,0.12149334817606534
2020-03-31,shrinkage_mean_variance,factor:HML,0.0007131665769022151,-0.11836288468594627
2020-03-31,shrinkage_mean_variance,factor:RMW,0.002187469814647272,-0.07770519792574405
2020-03-31,shrinkage_mean_variance,factor:CMA,0.000984792876025054,-0.17758651320198326
2020-03-31,shrinkage_mean_variance,factor:MOM,0.0022273894650251948,-0.09832958276391923
2020-03-31,shrinkage_mean_variance,specific,-0.0017287757400951433,
2020-03-31,shrinkage_mean_variance,transaction_cost,-4.527779195414515e-05,
2020-03-31,shrinkage_mean_variance,active_net_return,0.011272678695676715,
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:MKT_RF,-0.005063610674229714,0.17187183879695078
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:SMB,0.0013018412662437395,0.17871286315908363
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:HML,-0.0008427266179225221,0.13986571542964743
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:RMW,-0.0014371598155174185,0.05105203608659363
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:CMA,-0.0018485089598384622,0.33333939429511666
2020-03-31,maximum_sharpe_with_gmv_fallback,factor:MOM,0.0012700968814159425,-0.05606926780448429
2020-03-31,maximum_sharpe_with_gmv_fallback,specific,0.001351881400363816,
2020-03-31,maximum_sharpe_with_gmv_fallback,transaction_cost,-0.0001967324156688444,
2020-03-31,maximum_sharpe_with_gmv_fallback,active_net_return,-0.005464918935153464,
